Topic,Count,Name,Representation,Representative_Docs
122,12,122_india_support_pe_customer,"['india', 'support', 'pe', 'customer', '17', 'they', 'indian', 'idiat', '1070seller', 'aw17r47006slvpus']","['fellow indians using amazon for years may too have realized that its customer support has been rapidly down spiralling in india. amazon india’s customer support is becoming more and more agonizing. a company which claims to be earth’s most customer centric company, now just places the customer in centre and harass and abuse them from all directions ! so much so for being customer centric now !from oct-22 they have disabled replacement/return option as well. you can click on it, go through ususal fill-in of boxes and tick-marks and after submit you shall realize that replacement/return no longer works. now, its just a corrupt company with no customer support. they just appreciate ur patience & ask u to have some more indefinitely. for last defective product they delivered, 8 picks were scheduled by them via delhivery, 4 times they promised refund if next pick up fails, talked to 12 of their executives, interacted with 17, twice filed complaint with national consumer helpline, and then in consumer commission. amazon india brazenly violate consumer protection act 2019 & consumer protection (e-commerce) rules 2020 now. note that 2020 rules make it mandatory for e-marketplace operator to provide for return and refunds.', 'amazon.com is the worst customer service i have ever come across. i’m in the uk and shop all over the world and never experienced this kind of customer service ever. i returned an entire order of 6 creams because the packing label had discrepancies when compared the my original. they refunded me for only one item, when i contacted them by email i got different replies each time from different named representatives, i’m indian and i could recognise that the representative names were all indian. they cause ld ne do much inconvenience and frustration due to them not doing their jobs properly, they never read past history of messages and simply just threw out emails replies which took me back to step 1 and having to explain the issue over and over again. in the end i had to call and ask to speak to a manager, i was put through to africa and the manager refunded me! sorry but wherever there are indians dealing with customer services, they are useless! they are getting paid to not do their job properly but i fact confuse matters worse and they do not support which is what they are paid to do! so disappointing that a customer has to go through this stress to get a refund they are owed! my question still is, if weight of my return parcel clearly proves the weight of 6 items then how on earth are they saying i only returned one! where have the other 5 items gone????? fraud! that’s what!!!!!!! anyways i got my refund in end but it was a total mess and this is due to customer service representatives in india!', 'both customer support & seller are pathetic. before making an order, i asked them if the item will be deliverable, to india(international delivery, usa to india), both customer support and seller said item will be delivered to india. but even then, before making an order, i tried to ask the same question from several customer support and they all said deliverable to india. finally, i bought $2000 amazon gift card from third party. i made an order of laptop dell alienware 17 r4, i used gift card, and paid rest of the amount from my debit card. following are the details.===================================================order # 113-2215371-0609818order placed october 7, 2017alienware aw17r4-7006slv-pus 17"" gaming laptop (7th generation intel core i7, 16gb ram, 256gb ssd + 1tb hdd, silver) with nvidia gtx 1070seller ==> beach camera same day shipping ===================================================they cancelled my order, and when i asked customer support they asked me to make order again, as there must be some mistake. so i made the order again on 10th october. following are the details.===============================================order # 113-7252378-8515458order placed october 10, 2017alienware aw17r4-7006slv-pus 17"" gaming laptop (7th generation intel core i7, 16gb ram, 256gb ssd + 1tb hdd, silver) with nvidia gtx 1070seller ==> beach camera same day shipping ===============================================they cancelled my order again. i again talked to customer support and seller both and really this made me crazy. they were giving wrong information, offering me $5-$20 for all of this trouble. amazon customer support do not value their customer\'s time. finally, i need to write mail to jeff bezos ceo of amazon and then i came to know, this item could not be delivered to india. and neither they can refund my amazon gift card as it was bought by 3rd party, and neither 3rd party allows any refund. so my $2000 became waste now. i just sent my $2000 gift card code, to jeff bezos, as a contribution to improve the amazon pathetic customer support.']"
123,12,123_prime_spin_ive_stuff,"['prime', 'spin', 'ive', 'stuff', 'totally', 'deliver', 'unprofessional', 'untrustworthy', 'membership', 'shoddy']","['as a ""company"" amazon pretty much sucks. they tell you one thing about your order when the complete opposite is true, and when you catch them in a lie and confront any of their customer service reps. they lie more. meanwhile bezos is getting close to being the first trillonaire.... go figure.oh btw, having a prime membership is absolutely useless. supposed to be like two day shipping, i ordered two office chairs on 8/1, got notified on 8/5 that they shipped, checked with the shipper on 8/6 and the only thing they knew is that a shipping label had been created.', ""here we go again. again wouldn't give amazon one star if i didn't have to. another three orders placed with next day delivery waited in all day no delivery now being told it will be mon tues next week. totally disgusting unprofessional unreliable and untrustworthy. why we pay for a prime membership is beyond me as certainly do not get a prime service. its worse than even a shoddy service. and i'm fed up with all the lies excuses and bull s.... they keep coming out with. this time i was told it was external factors more like they just couldn't be bothered yet again. will never ever recommend amazon to anyone unless they want to do business with a shoddy unreliable unprofessional and untrustworthy company that spin lies like they spin records."", 'i have been a prime member of amazon for years...sang their praises and strongly recommended them to friends and family....no longer!!! 6 months ago i was in an accident which resulted in my having 2 broken bones in my lower left leg..i had to have an operation and implant of rods and screws on one of the bones..which made me totally bed ridden. during this time i depended on amazon to deliver basic needed items..i never had a problem before with their delivery but boy what a nightmare they turned out to be the delivery never came.. they totally refused to follow delivery instructions...lied about deliverys gave false promises,,vowed to improve. service but never have..now it is christmas..i stupidly ordered from them again..only to be disappointed again by non delivery of their totally cv worthless delivery system...will now cancel my prime membership...too many problems with amazon and too many other good sellers on line that can and do deliver s as me items many times less priced and free shipping...avoid amazon if you can']"
124,12,124_ipad_apple_was_amazonit,"['ipad', 'apple', 'was', 'amazonit', 'day', 'the', 'scratched', 'checked', 'mini6', 'chimney']","['on the 14/10 i ordered a 2022 apple 10.9-inch ipad air (wi-fi + cellular, 256gb) - as a prime customer i was offered next day delivery. i waited half a day tracking and at 13:30 i still had no idea of delivery time so decided to go out shopping. at 2:15 approx i checked for updates on app and info stated will be delivered between 15:00-18:00 . i returned home 14:50 and the item was delivered at 17:50 approx, i was so excited i opened the package straight away to find fire hd 10 kids proages 6+. i rang customer service straight away, i was ask of the condition of the package, it was intact with no damage but the ipad i ordered was no longer showing online so was advised it appeared to have been stolen, i should return what i received for a full refund. i got myself so worked-up during and after speaking to customer service officer i just could not believe someone could have done this cruel act. i became unwell my blood pressure hit the roof. i urgently needed the ipad and the only one similar left online was over £100 more. i then contacted customer service again via online chat and ask due to the distress it caused me and i really need the the ipad with those specs for traveling, if they could help with a discount to purchase the other one i was refused and told amazon does not do price match or offer compensation. i was refused a manager when asked and the person i was speaking to ended the chat without telling me so i was chatting to myself for a while before i realised. i call again and i was offered a manager but the officer who came stated she was the supervisor and did the same, left the chat without telling me. as a long time, loyal and prime customer spending a good sum of money of late, i was expecting better treatment. 😕😢', 'awful company. ordered an ipad through amazon prime which was due to arrive on the 22nd december in time for christmas. on the day of delivery the parcels were out for delivery and then suddenly marked as being unable to deliver. after ordering thousands of pounds worth of stuff from amazon in the past, they have never once had an issue finding the address. this started raising concern. the item then returned to the depot around 2330 that evening and was marked to be out for delivery the following day. the following day the supposed item was delivered and one time passcode given but instead of a package containing an ipad, it was a children’s book. the ipad had clearly been stolen and the label showed obvious signs of being swapped. pictures were taken of the driver handing the parcel over along with evidence that the label was tampered with and the incorrect item was received. a complaint was officially logged with amazon who said they’ll look into it. pictures were sent to give the required evidence they asked for the same day (23rd december) but nothing was done about it still and they keep saying to “contact them again in a few days” every time we try to contact their customer services. i had to go out on the 23rd december to try and buy the gifted ipad elsewhere (from currys, an actual store) and told amazon this which is further proof we didn’t receive the ipad from them but they still delay and don’t offer any solution.', 'seriously thinking about canceling my amazon prime membership.i will never buy anything of value on amazon again after amazon’s latest screw up.i had saved up for close a year for a new ipad.my present one is cracked and hardly works.i ordered the new ipad through my prime membership. at 1st, amazon claimed that it would arrive the very next day.that changed to two days, which i was fine with. i paid a friend to hang out and get the ipad from the amazon driver. i did this because this was an expensive item and i didn’t want anything to happen to it. the tracking information said the ipad would arrive between 11:45am and 2:45 pm. only 6 stops away. later, i saw that the ipad had been delivered!great, i thought!i got home around 5:30pm and asked my friend where’s the ipad?he told me that no amazon track or driver dropped off anything at the front door?what, i exclaimed!i immediately tried to contact amazon customer service, which is a total nightmare and not much help, other than asking if i had checked my front porch?no, it’s not on the front porch!customerservice told me that the ipad was delivered because it says so?omg, what’s wrong with these people.usually amazon takes a photo of where the driver left the item.in my case, there was no photo!so, an hour later i was speaking with an amazon supervisor.i explained everything for the 20th time.only to be told, please wait another day?i asked if i could get another tracking number for a time of arrival? no can do!if the ipad hasn’t arrived by the end of the 3rd day, please call back and file a claim.well that day came and went, no ipad.i’m presently taking amazon to small claims court to get my money back.so, the moral of the story is,think twice before you order anything of value from amazon!because if anything goes wrong, you are on your own!amazon=buyer beware!']"
125,12,125_tint_parts_missing_rear,"['tint', 'parts', 'missing', 'rear', 'custom', 'helmet', 'us', 'refunded', 'we', 'installer']","['ordered products. all arrived on time but one product was not new. it had been taped closed, and the mirror was very used and scratched. was part of cycling helmet rear view. product was screwed onto helmet and trimmed so it cant be returned. return is the only way to get refund or replacement. customer service was no help. bought new but o lt got abused ,used product.', 'amazon used to be very helpful when we had a problem, but now they do their best to keep from having to help us. we order an incubator that was delivered missing parts, we called with in a week and told them we wanted a refund. they kept hanging up on us, and did not offer any help. finally they told us we had to send the package back at our expense and we would be refunded. when the package was refunded they did not pay us the $200 plus dollars that we paid for return shipping and the took out a restock fee. since this item was sent broken, it should have been the seller responsible, and amazon should have refunded it for us. amazon was not helpful at all. we have also had problems with other packages, and amazon has not be willing to help us. they just say, i’m sorry, that’s all i can do. they hang up many times and we have to continue to call them back.', 'recently buy front, rear, and fog light tint that were supposed to custom fit for my bmw 640i. i took the tint to a 5-star tint installation dealership to have it installed, well to my surprise the front was not a custom fit. the installer recommended not to install the rear and return the front and contact rvinyl. i contacted them and sent photos of the tint. their customer rep melinda p. stated they will not refund me because it was installed by a third party? hence i am not a professional installer but using that as an excuse not to refund me and the fact i still have the rear tint still in the shipping plastic. i would not order any custom tint cause it will not be custom fit and no refund!!!!!! your choice buying from this company!!']"
126,12,126_abominably_shts_expoid_workers,"['abominably', 'shts', 'expoid', 'workers', 'bunch', 'hate', 'fucking', 'exploits', 'basics', 'arsed']","['hate it!!! the staff is impatient and disrespectful this job is well pay but the disrespect is not worth the profit', 'absolute clowns, biggest bunch of liars and thief’s. they failed to do the very basics of what is a very easy task.', ""i hate this company it's a disaster for all of us for future no value of seller and it's workers. company who expoid humans and stealing thier opportunity.""]"
127,11,127_fake_cleanser_counterfeit_gizmos,"['fake', 'cleanser', 'counterfeit', 'gizmos', 'glitzy', 'plug', 'marini', 'products', 'yankee', 'research']","['i thought i would be safe buying through amazon, i can not believe how they let glitzy gizmos to trade on amazon even after receiving many many complaints for well over a year, as happened with many other people i received fake goods off glitzy gizmos. amazon are not interested in helping me, i trusted amazon, never ever again, after this happened i went onto trust pilot and could not believe how many people had complaints about amazon allowing fake companies to sell on their site. on trust pilot amazon only recommend 2 and a half stars. wish i had looked into the company and amazon before i ordered, i would definitely not have ordered a thing, everyone beware of glitzy gizmos and all other companies that sell on amazon. they allow many fake companies to continue to trade on their site !!!!!!!!!', '1) amazon had a listing of what seemed like a counterfeit product (<$500 price tag for what should have been a $2k item.)2) amazon representative told me that they personally vetted the product and that it\'s authenticated. i have screenshots of this conversation.3) i ended up buying the product. when i received it, it was obviously fake. still, i paid a professional authenticator and they confirmed that it\'s counterfeit.4) i reported this to amazon, they apologized, but they did not allow me to post my review on the seller\'s product page!in short, amazon sold me counterfeit and is covering up for a seller who should not only be banned, but reported to authorities.forgot to mention, i\'m a ""prime"" customer, who had easily spent multiple 5 digits with this garbage business, not out of love, but out of necessity. this is what you get when you allow psychopaths to have monopoly over the market, and then you push small businesses to shut down during a pandemic.edit:remember the fake bag i bought, which the seller only had one of? well, the merchant, now has a mysterious 5 star review that says ""love it!""except this review was posted while i was in possession of the one bag. sooo either they\'re lying about stock levels to create false scarcity, or they\'re creating fake reviews. take your pick.', ""amazon is selling fake and counterfeit products on its website and will not take responsibility for it. i bought a jan marini research cleanser on amazon. when i opened it, the seal was broken. the cleanser was watering and ineffective. there was no expiration date on the bottle. i immediately bought a bottle of the same cleanser from jan marini research directly and the difference was unbelievable. the fake amazon cleanser was almost colorless and watery, while the authentic cleanser was green and thick. the authentic cleanser also had a seal and an expiration date. when i contacted amazon, they would take no responsibility and they recommended i contacted the fake manufacturer/distributor. are they serious? how is this legal? aren't there laws that prevent this from happening? why is amazon allowed to violate laws that would have other retailer fined or in jail?""]"
128,11,128_returns_bulk_day_always,"['returns', 'bulk', 'day', 'always', 'takes', 'saved', 'week', 'lol', 'akward', 'etarecently']","[""i no longer receive most of my items in two or three days. it takes almost a week. normally within the time frame they give. i love amazon. you have to understand how much they have grown! it is impossible to make sure all of their customers get there shipments in two days. let's be logical. i was disappointed when my stuff started taking a week to get here as well. amazon has always done the best they can for me, and i appreciate it. even when i'm not the easiest to talk to."", ""i live in a small town in the southwest and never get 2 day delivery. and returns are a joke. amazon wants me to take unwrapped returns for bulk shipping. my ups store doesn't have a full service counter. it's only open 3 hours a day monday thru friday if manages to open. they do no packing and there are no bulk returns. i made the employee laugh when i asked."", ""there next day delivery is actually sublime. if you want something quickly and u don't mind paying a little extra. saved my bacon a few time lol.but!there returns system are akward, honestly u get your item the next day. but god forbid there's a problem. you will spend an age trying to contact the seller or find out how to contact them. then when things finally escalate. u get a returns label. lol days and days later lol.""]"
129,11,129_horrible_dumped_awful_34,"['horrible', 'dumped', 'awful', '34', 'effortgo', 'servicedelivering', 'okayed', 'usshame', 'servicetheir', 'satisfaction']","['horrible service! it has taken 7 days waiting for a refund and not nothing yet, when i contacted them, i was informed that the cancellation had not been processed and it will take another 7 to 10 days. this purchase was done using the ebt card for an elderly person who needs the money to be able to purchase her food. bad service and irresponsible will not use their services again', ""absolutely horrible service and quality of items. no regard for customer satisfaction of sense of responsibility for customer satisfaction. does not want to give refund for faulty poor quality items and are the absolute worst at helping customers with issues. bought a backpack that started breaking just less than a week after use and the refuse to grant me a refund. that's is so unacceptable and disgusting"", 'horrible experience and never will use this service again. order several items for christmas and nothing was delivered. went thru such aggravation to get the money refunded so i could replace my gifts and was told it would be refunded. then told sorry but refunding. they stole over $600 from a single mom who saved to get her daughter her gifts and then lied to and okayed by them disgusting']"
130,11,130_member_prime_worth_best,"['member', 'prime', 'worth', 'best', 'starting', 'idealized', 'tax', 'tact', '2003', 'overrated']","[""i don't know what took me so long to become a prime member but it is worth every penny! by far the best online shopping bar none! prices are right and packages arrive on time and in tact every time. thank you amazon, you save me time and money."", 'i have been a prime member since 2016. in the years, the service has increased in price. something else i noticed since lockdown: i can find most items i buy on amazon cheaper elsewhere even when i include shipping. the only advantage prime has is the speed of delivery (most of the time i can get it next day) pretty soon, it won’t be worth it: disappointed.', 'i just gotta give a big shot out to amazon whose name should be amazin they are the bomb. the prime membership is worth it. it paid for itself for me in march with savings and so ill be saving all year. i actually did the numbers i am on a budget so i watch my pennies like a hawk. amazon gets and a grade!']"
131,11,131_search_pages_engine_results,"['search', 'pages', 'engine', 'results', 'cbd', 'looking', 'filters', 'famotidine', 'bar', 'you']","['i avoid using amazon more and more these days. not just because i can usually find things cheaper else where but because of what has to be the worst search engine of any large online retailer. not only is it impossible to narrow your search to get to what you are looking for, the pages are littered with ""sponsored"" items that get repeated on every page. to make things even worse, now, you only get 7 pages of items so if you sort by price you only see the cheapest 7 pages (and sponsored items) of the item you are searching for. for the biggest retails in the world it just shows they are only interested in profit and not in their customer. taking my business else where, where i can find what i actually want.', 'would you please fix your search engine? perhaps google could help. when i search for an ""rtx 3080"" the booleans mean that my search should not display rtc 3090\'s, 3070\'s, 3060\'s or amd graphics cards. i have 2 battery orders sitting here that are useless to me because they popped up in a search where they shouldn\'t have. some of these button batteries have several names. can\'t i count on your search engine to get it right?', 'too often do i search for an item and other items will show in the results. a search for k cup tea, for instance. regular tea bags will show in the results. why should i have to search through my search to see if the results are correct?']"
132,10,132_courier_clown_chapter_think,"['courier', 'clown', 'chapter', 'think', 'packages', 'twitface', 'ioi', 'adresswhich', 'goof', 'funnier']","['i am having a nightmare with amazon’s customer service. my packages were swapped with another one while i got the notification that my packages were successfully delivered. i contacted amazon and they picked up the wrong package the next day, while opening an investigation on my own packages. it’s been 2 weeks since the delivery was messed up. i have contacted amazon 3 times and each time i was asked to come back later: the first time in 2 business days, 2nd time for 4 business days and the most recent one i was asked to come back in 7-8 business days!!! i cannot cancel my order nor getting refund for something that i have not received. the representatives were rude, the last one opted out of the chat room - not saying a word - when i started to complain about my frustration on the service. i have read so many bad reviews about amazon’s customer service these days. just one more from me. amazon is going downhill compared to other online retailers. a sad thing to see, given how i used to love this platform.', 'two items that i ordered on amazon were never delivered, and when i look at the order status on amazon, it says ""your package may be lost."" this has happened a number of times with other orders. i called customer service to get my lost items replaced, and i spoke with a rep who was nice and polite, but i simply could not understand what she was saying to me. i had to ask her to repeat what she was saying many, many times, and when she did, i often still could not understand her. i realize that providing overseas customer support has financial advantages for amazon, but it is at the expense of customers. on almost every customer service call i have made to amazon, i have had a great deal of trouble communicating with the rep. and i have often received information that is completely incorrect. i remember when customer service reps were based in the u.s., and they were great and i was able to communicate with them. my heart sinks every time i have to call customer service and i hear someone answer with a heavy accent because i know the interaction is going to be difficult and stressful. i love amazon because of their huge and varied inventory and the ease of ordering from them, but i hate their customer service and amazon delivery services. before amazon created their own delivery service and delivery was handled by fedex and ups and a few others, i never had a problem with delivery. but now i\'ve had multiple problems, with my items being delivered to the wrong address (when my address is clearly posted on my house), with my items not being delivered at all but being ""lost,"" and with my items being delivered late. i miss the old amazon and have definite mixed feelings about the current one.', ""sometimes amazon customers care is so funny because it a big joke. whats funnier is the amazon fulfillment service. sometimes the contact with them kind of rub off on you and you're going to be so much funnier. a clown! there's so much trust that when you return a product and the courier service tells you that they don't accept returns and you'll loose the courier charge and you still want the return so you call an associate they ask you to send the details and tracking id and everything will be fine and you pay the courier charge which they promise, will be returned along with the refund- chapter i clown ioi ! then,just like the courier service said,they does not accept the product and blame the courier service. you'll think the courier service is a joke but no baby!you are! -chapter 2 clown ioi they say the courier service wouldn't have delivery in the area,and when they checked into the courier service, it was shown that the adress,which is of an amazon shipment shown that the adress,which is ot an amazon shipment center,was incorrect,which you may be dumb enough to believe (jokes on you actually), then the courier service calls you to say that they have attempted delivery (and you realize almost every major courier service would be having delivery near an amazon shipment hub) and says that they are not accepting the return and if the product should be sent back.you call the associate they ask you to sent the details and then try again and promise they ask you to sent the details and then try again and promise you everything will be fixed this time. voila! -chapter 3 clown 101. you sent it again. they reject it again . they ask you to take back the product. then try the return again and loose twice the money. idk what you think man but this class is fire! i don't think its the iey. idk what you think man but this class is fire! i don't think its the joker hype but yeah. this is jocker,but you're the the funny one! 🤡ps - the barcode or details was not tampered because the second time is asked the courier service to retry after sticking the printing labels amazon sent me, just in case if the barcode was tampered or something.""]"
133,10,133_products_sellers_its_focus,"['products', 'sellers', 'its', 'focus', 'ripped', 'many', 'growth', 'selling', 'legal', 'off']","['when you think, oh it\'s from amazon, i\'ll be safe buying from them,, nerrrrp! think again. i cannot tell you how many people i know of, myself included, have gotten ripped off from this major company!! especially with beauty products, name brand products, even clothing!! i mean, amazon\'s ""3rd party merchants"" are just a friggen way for amazon to get around getting sued for selling faulty crap! it\'s a cop out so they don\'t have to claim responsibility when their customers get ripped off!! it\'s so they can say, ""oh it wasn\'t us, how would we have known that vendor was sending you a fake product that burned your skin,,!!"" they know alot of their ""3rd party jerk so-called sellers"" are ripping their millions of customers off but they don\'t give a crap and aren\'t going to change it unless they stop making money from us, the consumer!! they need to start selling their own **authentic** inventory that they can perform quality control on!!! i just can\'t believe how many people have gotten ripped off, yet mad amounts of hard working americans are still throwing their money away to them! i mean shoot, if you wanna go to wish and compare some of their products to amazon\'s, you might be surprised to see it\'s alot of the same crap!! unbelievable they\'re still a top merchant. makes me crazy!!', ""when amazon was experiencing rapid growth, the company's management focused on growing market share and managing company growth. this is why amazon is notorious for selling counterfeit products. but, with the global economy contracting and amazon's sales with it, the company's management has shifted its focus to prioritize its customers. for example, amazon has implemented many reforms designed to eliminate counterfeit products from its website. in addition, customer reviews on the amazon site for food products provide many examples of the company selling outdated and stale products. amazon is also addressing this issue, with a new focus on delivering food products in an acceptable condition. in fact, i order canned foods by the case from amazon because they arrive in pristine condition. in stark contrast, their largest competitor refuses to sell canned foods by the case and instead ships severely damaged cans to its customers. i congratulate amazon on its new customer focus and the improved experience it has produced."", ""i’ve been an amazon customer for many years, and after over a decade, i need to say something about my experiences. whether this message reaches many or not, i’m sharing my direct experience. amazon is undeniably convenient, fast, and easy to use, but it comes with serious risks, including fraud, financial theft, and receiving dangerous products. using amazon is like gambling with your money. i’ve had amazon commit fraudulent transactions, charging me double and triple what i should have paid, which i had to sort out with my bank and they confirmed amazon has been doing this to me. i’ve ordered a wide range of products from amazon, and it's always a hit or miss regarding quality. i’ve even been hospitalized after receiving extremely foul food and drink products from amazon. for instance, condiment sauces were so spoiled and contaminated that they nearly unalived me.i’ve encountered countless instances of products being falsely advertised and misrepresented by amazon and its sellers—everything from grills and clothing to dolls, groceries, electronics, health items, automotive parts, sports gear and more. i’ve been defrauded multiple times over the years, with a recent example being defective and dysfunctional devices sold through numerous sellers. they just robbed me again of thousands of dollars for electronics. it’s clear that amazon is aware of these issues because many others have been scammed in the same way. amazon takes our money and delivers trash. returning items is a hassle, and it's not always feasible for people.amazon allows these fraudulent sellers to operate and benefits from their schemes. these sellers are slick, and anyone who has dealt with them knows what i’m talking about. the same applies to amazon's customer service. it’s some kind of business model to take a bunch of money and provide devices that doesn’t work. this shouldn’t be legal. i’m not a legal expert, but this ongoing issue can’t be right.while i have received some good products from amazon, the negative experiences far outweigh the positives. this is crazy. amazon is a risky gamble and very unreliable and this is based on my direct experiences over and over""]"
134,10,134_toilet_paper_address_me,"['toilet', 'paper', 'address', 'me', 'they', 'police', 'file', 'report', 'happened', 'arrived']","[""what is happening with amazon and some of their vendors? i filed a complaint about a product that was arriving by 8 pm and never showed up. when i look at the tracking number it is with some unknown shipper and has not even been shipped even though the amazon site says shipped. the product was coming from alaska, but really china. checked the odd tracking number and it hasn’t even shipped from china who knows when of id it will ship.i did online chat and was transferred 5 times to different people, didn’t ask to be transferred and had to start all over again. i contacted the vendor asking where is my product or money only to get an email , hi, stay safe message. because i contacted the vendor a second time asking where is my item amazon says i have to wait 48 hours for a response before they can do anything. doesn’t matter i already contacted the vendor once before. they don't care that my money is gone and the product is way over due. amazon may contact the vendor, maybe file an a to z complaint and another month goes by and amazon has my money. i don’t know if i have to contact amazon again to make this happen. amazon could have read the complaints from all the other people who have not gotten the product, but chose not to. amazon has removed this item from their site like the other 2 items i had the same issue with. i told amazon i would file a dispute with my bank and they said, go ahead file a dispute with you bank. this is the third time something like this has happened. what has happened to customer service? what happened to amazon backs their items? why is amazon taking customer money so quickly for items before they are shipped? do they not trust their third party vendors? amazon is not the amazon they use to be."", 'i ordered a garden shed on amazon when it’s arrived it was too ugly to go into my garden. i contacted amazon to get a return label and when i carried the shed that weigh 30 kg plus to the post office they told me that the postage was not covered, i contacted amazon. they assured me they would get back to the seller who would contact me within two days to arrange return of the goods. now six weeks later, i am being told by amazon that the order was placed under a different email address and they can only deal with that person. i have pointed out to them that there must be 100 orders before and since that order all placed under the same email address the same delivery address using the same card. i have spent over 50 hours trying to get my money back i’ve been told on two occasions that they would force the third-party to return my money within seven days which hasn’t happened. i have wrote three letters to their managing director and finally i had an answer over the phone this evening.. the person on the phone has given me absolute no confidence of me getting my money back. he’s saying it can’t be looked at under gdpr the order was placed under a different email address and i’m asking him how that’s happened when all the other orders are showing placed under the right email address. i’ve also asked him when when i applied to return the goods why it came out off my orders on the app making it very difficult for me to take the matter up with their customer services. i am also very concerned that the third-party that i placed my order with on the amazon website have ceased trading and why amazon allowing companies that do not trade to sell on their website. the guy on the telephone could not answer that question said he would report it, but i would hear nothing back as it would stay an internal matter. this is clearly not good enough and they as they are not protecting their customers.', 'hello all !!i have been an amazon user for so long and have had no problems! recently an item i ordered never arrived and they kept telling me i got my refund and i never did! finally, had to contact my bank and file a dispute!but, that is not the big one!i placed 4 orders within a week! one arrived fine and the other 4 were delivered to the wrong address and the thing that got my goat the most is they sent me a picture of someone else’s doorway!!!!!!! on calling, they have that calm scripted attitude that only made me more angry. one order i cancelled that was a small amount and went to staples. the second order had two items in it and requested replacement! they only replaced half! and i had to get the second half replaced also! don’t you know it, it went to the same wrong address again with a picture of the doorway. my third order order thank the lord arrived with no problem. i called back to check on the next replacement and talked to logistics who assured me everything was fine. yesterday the second replacement was due and for some reason i checked my account and there was a delivery confirmation and yet again a wrong delivery and someone else’s house! by this time i am furious! after explaining my story again and with anger, they suggested i check the neighborhood and see if i can see it. we live in a condo with 26 units and you know that wasn’t going to happen. since distribution is a town away, i wanted them to call and make the driver return ( of course he would have to remember where he left it ) and of course no dice! so to make a long story short they are sending a third replacement today, but i don’t have much hope. so as of this minute there are 3 katy perry cd’s out there just floating, and if you got one, please enjoy it on me! and, if she reaches the top of the charts with the cd, well i know i had something to do with it! what has happened to amazon, to big, to fast, bound to crash! spent almost 2 hours on the phone trying to resolve, i think i will pay full price and go back to brick and mortar! beware my friends !!!! pretty sure my cd will be in the bargain bin before i see it-amazon get it together!']"
135,10,135_meamazon_account_thieves_money,"['meamazon', 'account', 'thieves', 'money', 'stole', 'fn', 'leak', 'imbeciles', 'funds', 'steal']","['amazon uk stole money from meamazon stole money from meamazon stole money from meamazon locked me out of my account.i passed security to get back in but they could not open it.they said i had to open another account.they said there was a balance in the account, but there was nothing they could do to get it.when i queried this the response was basically ""tough""thieves', ""amazon is the new big scammer and fraud in the market of ecommerce.deactivated my us seller account in section 3. even i was doing wholesale fba with proper invoices. still they closed my account and hold funds. they said after 90 days funds will be released but when 90 days have passed and i make a funds disbursement they have rejected the appeal and put final decision. there were 5700 usd in my account. and there is no human customer support. bot are replying same message to everyone. i suggest sellers don't invest on this fraud platform and save your hard earned money from amazon."", 'stay away from these f-n scammers and thieves! they are nothing but imbeciles and mentally challenged, that have no clue what they are doing but they use our bank accounts and information to steal money from us and create fake identities. i was frauded by amazon and i hope everyone who reads this will stop using this stupid site operated by imbeciles and brainless! you pieces of crap you need to be stopped and hope no one will ever order from your stupid garbage site! stealing money was never an issue until your f-n site started. you are nothing but scammers and thieves! i hope someone will stop your garbage site!']"
136,10,136_terrible_cheating_shopped_pennsylvania,"['terrible', 'cheating', 'shopped', 'pennsylvania', 'wrongs', 'company', 'tricked', 'manger', 'ever', 'thieving']","['horrible company . they are selling cheap and fake products. dear friends avoid buying amazon products. they are just simply cheating', 'amazon terrible customer service does not give the right information to contact manufacturers of their product terrible terrible terrible pennsylvania no matter', 'amazon is the worst website ever. they tricked me and took my money. i will never be purchasing off of amazon ever again, nor should you. the person that i talked to, kept repeating the same thing over and over again. amazon had a faulty on their part on the website and charged me for their wrongs and when i asked for a refund they told me that i couldn’t. amazon is in the wrong and they stole my money. half of their quality items are trash.']"
137,10,137_postage_postal_high_implement,"['postage', 'postal', 'high', 'implement', 'free', 'costs', 'bye', '5whilst', 'donepostage', 'postageouch']","['in my opinion amazon charge far too much for postage.look for the same thing on ebay its not only cheaper its free postage most of the time.i was a loyal amazon customer for years but not now.', ""you'd think with how simple it is to buy on amazon they'd implement a similar system for sellers. instead they have something which is over complicated and annoying. for example the bizarre system they implement with the postage fees and the various levels of sellers which you have to be high up on to be able to even offer *free* postage?!"", 'my only bug bear is that the postal costs are sometimes hidden away when you an item that is not sold directly from amazon. soemtimes it can be difficult to work out what you are paying for. there have been times i have thought about buying something only to discover the postal charges were astronomically high in comparison to the cost of the item. i think amazon should rectify this situation where the traders make the product price very low ie 1p and then build the true cost of the product into the postage costs, so you never really know how much the item costs.']"
138,10,138_hotel_hotwire_selection_great,"['hotel', 'hotwire', 'selection', 'great', 'best', 'kimpton', 'restaurants', 'boutique', 'vintage', 'prices']","['they have the best selection and prices..', 'they always have great selection. customer service is great!', 'in an update to my recent hotwire experience. i have been given the kimpton vintage hotel. this is a boutique hotel in the centre of seattle. it looks a very nice 4* hotel in a good location and with shopping and restaurants nearby. hopefully this will end up being another good experience with hotwire. try it again.']"
